,geoid_county,rise,U7B001_isolated
861,12113,3,2131
862,12113,4,3925
863,12113,5,5088
864,12113,6,6153
865,12113,7,9229
866,12113,8,11890
867,12113,9,13478
868,12113,10,14810
869,12115,0,0
870,12115,1,662
871,12115,2,4577
872,12115,3,13508
873,12115,4,21544
874,12115,5,30684
875,12115,6,39408
876,12115,7,48049
877,12115,8,60803
878,12115,9,72070
879,12115,10,86782
880,12117,0,0
881,12117,1,0
882,12117,2,0
883,12117,3,0
884,12117,4,0
885,12117,5,0
886,12117,6,0
887,12117,7,0
888,12117,8,0
889,12117,9,0
890,12117,10,0
891,12123,0,0
892,12123,1,100
893,12123,2,193
894,12123,3,973
895,12123,4,1035
896,12123,5,1046
897,12123,6,1514
898,12123,7,1830
899,12123,8,1996
900,12123,9,2192
901,12123,10,2272
902,12127,0,0
903,12127,1,791
904,12127,2,1964
905,12127,3,8773
906,12127,4,19747
907,12127,5,32177
908,12127,6,53642
909,12127,7,75730
910,12127,8,100106
911,12127,9,123178
912,12127,10,137386
913,12129,0,0
914,12129,1,135
915,12129,2,303
916,12129,3,1003
917,12129,4,1350
918,12129,5,2539
919,12129,6,3225
920,12129,7,3446
921,12129,8,4052
922,12129,9,4437
923,12129,10,5244
924,12131,0,0
925,12131,1,2430
926,12131,2,3021
927,12131,3,4578
928,12131,4,7395
929,12131,5,8944
930,12131,6,10562
931,12131,7,15799
932,12131,8,20228
933,12131,9,21962
934,12131,10,22552
935,12133,0,0
936,12133,1,0
937,12133,2,0
938,12133,3,0
939,12133,4,0
940,12133,5,0
941,12133,6,0
942,12133,7,21
943,12133,8,21
944,12133,9,21
945,12133,10,21
946,13025,0,0
947,13025,1,0
948,13025,2,0
949,13025,3,0
950,13025,4,0
951,13025,5,0
952,13025,6,0
953,13025,7,0
954,13025,8,29
955,13025,9,118
956,13025,10,118
957,13029,0,0
958,13029,1,1572
959,13029,2,2202
960,13029,3,2955
961,13029,4,4257
962,13029,5,5973
963,13029,6,8731
964,13029,7,9903
965,13029,8,15547
966,13029,9,17699
967,13029,10,21037
968,13039,0,0
969,13039,1,905
970,13039,2,1314
971,13039,3,3597
972,13039,4,4485
973,13039,5,6477
974,13039,6,8631
975,13039,7,11444
976,13039,8,15135
977,13039,9,19608
978,13039,10,22131
979,13049,0,0
980,13049,1,0
981,13049,2,0
982,13049,3,0
983,13049,4,13
984,13049,5,13
985,13049,6,43
986,13049,7,43
987,13049,8,43
988,13049,9,181
989,13049,10,181
990,13051,0,0
991,13051,1,6462
992,13051,2,11138
993,13051,3,16925
994,13051,4,31895
995,13051,5,51864
996,13051,6,59286
997,13051,7,73633
998,13051,8,86188
999,13051,9,105728
1000,13051,10,114851
1001,13103,0,0
1002,13103,1,0
1003,13103,2,0
1004,13103,3,0
1005,13103,4,0
1006,13103,5,0
1007,13103,6,0
1008,13103,7,0
1009,13103,8,0
1010,13103,9,0
1011,13103,10,0
1012,13127,0,0
1013,13127,1,4714
1014,13127,2,6477
1015,13127,3,13024
1016,13127,4,18734
1017,13127,5,23528
1018,13127,6,27791
1019,13127,7,28313
1020,13127,8,34567
1021,13127,9,38872
1022,13127,10,43165
1023,13179,0,0
1024,13179,1,920
1025,13179,2,1374
1026,13179,3,1412
1027,13179,4,1510
1028,13179,5,2125
1029,13179,6,3200
1030,13179,7,3238
1031,13179,8,5150
1032,13179,9,5981
1033,13179,10,8067
1034,13183,0,0
1035,13183,1,0
1036,13183,2,0
1037,13183,3,0
1038,13183,4,0
1039,13183,5,0
1040,13183,6,0
1041,13183,7,0
1042,13183,8,0
1043,13183,9,0
1044,13183,10,0
1045,13191,0,0
1046,13191,1,1698
1047,13191,2,1814
1048,13191,3,1946
1049,13191,4,2224
1050,13191,5,2246
1051,13191,6,2277
1052,13191,7,3809
1053,13191,8,4489
1054,13191,9,4759
1055,13191,10,5099
1056,13251,0,0
1057,13251,1,0
1058,13251,2,0
1059,13251,3,0
1060,13251,4,0
1061,13251,5,0
1062,13251,6,0
1063,13251,7,0
1064,13251,8,0
1065,13251,9,0
1066,13251,10,0
1067,13305,0,0
1068,13305,1,0
1069,13305,2,0
1070,13305,3,0
1071,13305,4,0
1072,13305,5,0
1073,13305,6,0
1074,13305,7,9
1075,13305,8,9
1076,13305,9,9
1077,13305,10,67
1078,15001,0,0
1079,15001,1,9
1080,15001,2,111
1081,15001,3,111
1082,15001,4,205
1083,15001,5,453
1084,15001,6,573
1085,15001,7,709
1086,15001,8,709
1087,15001,9,1613
1088,15001,10,1640
1089,15003,0,0
1090,15003,1,1428
1091,15003,2,5564
1092,15003,3,25937
1093,15003,4,59854
1094,15003,5,74081
1095,15003,6,107553
1096,15003,7,127187
1097,15003,8,159780
1098,15003,9,174711
1099,15003,10,187502
1100,15005,0,0
1101,15005,1,0
1102,15005,2,0
1103,15005,3,0
1104,15005,4,0
1105,15005,5,0
1106,15005,6,0
1107,15005,7,0
1108,15005,8,0
1109,15005,9,0
1110,15005,10,0
1111,15007,0,0
1112,15007,1,417
1113,15007,2,1780
1114,15007,3,2054
1115,15007,4,3643
1116,15007,5,6466
1117,15007,6,7423
1118,15007,7,13600
1119,15007,8,14620
1120,15007,9,15326
1121,15007,10,16357
1122,15009,0,0
1123,15009,1,353
1124,15009,2,951
1125,15009,3,2493
1126,15009,4,3403
1127,15009,5,5121
1128,15009,6,6957
1129,15009,7,8928
1130,15009,8,10072
1131,15009,9,12578
1132,15009,10,12984
1133,22001,0,0
1134,22001,1,2
